Model: SAM2
  miou
    AllBandNoise(0.38)|sev3: mean=0.6768 (n=4952)
  boundary_f
    Base|sev0: mean=0.5028 (n=4952)
    Translation(+4)|sev1: mean=0.5078 (n=4952)
    Translation(-4)|sev1: mean=0.5082 (n=4952)
    PadCrop(+4)|sev1: mean=0.5076 (n=4952)
    PadCrop(-4)|sev1: mean=0.5159 (n=4952)
    Scale(0.95)|sev1: mean=0.5126 (n=4952)
    ScalePadBlack(0.95)|sev1: mean=0.5145 (n=4952)
    ScalePadWhite(0.95)|sev1: mean=0.5206 (n=4952)
    Rotation(+10)|sev1: mean=0.5192 (n=4952)
    Rotation(-10)|sev1: mean=0.5156 (n=4952)
    TextOverlay|sev1: mean=0.4903 (n=4952)
    BoxOverlay|sev1: mean=0.4149 (n=4952)
    RandomText|sev1: mean=0.4842 (n=4952)
    LowPassKeep(0.18)|sev1: mean=0.4941 (n=4952)
    HighPassKeep(0.18)|sev1: mean=0.3249 (n=4952)
    LowBandNoise(0.18)|sev1: mean=0.5028 (n=4952)
    HighBandNoise(0.18)|sev1: mean=0.5027 (n=4952)
    AllBandNoise(0.18)|sev1: mean=0.5038 (n=4952)
    Translation(+8)|sev2: mean=0.5074 (n=4952)
    Translation(-8)|sev2: mean=0.5091 (n=4952)
    PadCrop(+8)|sev2: mean=0.5035 (n=4952)
    PadCrop(-8)|sev2: mean=0.5233 (n=4952)
    Scale(0.90)|sev2: mean=0.5279 (n=4952)
    ScalePadBlack(0.90)|sev2: mean=0.5279 (n=4952)
    ScalePadWhite(0.90)|sev2: mean=0.5328 (n=4952)
    Rotation(+20)|sev2: mean=0.5245 (n=4952)
    Rotation(-20)|sev2: mean=0.5189 (n=4952)
    TextOverlay|sev2: mean=0.4884 (n=4952)
    BoxOverlay|sev2: mean=0.3833 (n=4952)
    RandomText|sev2: mean=0.4803 (n=4952)
    LowPassKeep(0.28)|sev2: mean=0.5027 (n=4952)
    HighPassKeep(0.28)|sev2: mean=0.2485 (n=4952)
    LowBandNoise(0.28)|sev2: mean=0.5021 (n=4952)
    HighBandNoise(0.28)|sev2: mean=0.5020 (n=4952)
    AllBandNoise(0.28)|sev2: mean=0.5026 (n=4952)
    Translation(+12)|sev3: mean=0.5069 (n=4952)
    Translation(-12)|sev3: mean=0.5065 (n=4952)
    PadCrop(+12)|sev3: mean=0.5045 (n=4952)
    PadCrop(-12)|sev3: mean=0.5232 (n=4952)
    Scale(0.85)|sev3: mean=0.5418 (n=4952)
    ScalePadBlack(0.85)|sev3: mean=0.5469 (n=4952)
    ScalePadWhite(0.85)|sev3: mean=0.5494 (n=4952)
    Rotation(+30)|sev3: mean=0.5196 (n=4952)
    Rotation(-30)|sev3: mean=0.5195 (n=4952)
    TextOverlay|sev3: mean=0.4845 (n=4952)
    BoxOverlay|sev3: mean=0.3507 (n=4952)
    RandomText|sev3: mean=0.4748 (n=4952)
    LowPassKeep(0.38)|sev3: mean=0.5043 (n=4952)
    HighPassKeep(0.38)|sev3: mean=0.1155 (n=4952)
    LowBandNoise(0.38)|sev3: mean=0.5002 (n=4952)
    HighBandNoise(0.38)|sev3: mean=0.5011 (n=4952)
    AllBandNoise(0.38)|sev3: mean=0.5018 (n=4952)
  fragmentation
    Base|sev0: mean=4.5382 (n=4952)
    Translation(+4)|sev1: mean=4.5828 (n=4952)
    Translation(-4)|sev1: mean=4.7421 (n=4952)
    PadCrop(+4)|sev1: mean=5.0699 (n=4952)
    PadCrop(-4)|sev1: mean=4.6464 (n=4952)
    Scale(0.95)|sev1: mean=4.4045 (n=4952)
    ScalePadBlack(0.95)|sev1: mean=5.2371 (n=4952)
    ScalePadWhite(0.95)|sev1: mean=4.5687 (n=4952)
    Rotation(+10)|sev1: mean=3.7217 (n=4952)
    Rotation(-10)|sev1: mean=3.3429 (n=4952)
    TextOverlay|sev1: mean=4.5981 (n=4952)
    BoxOverlay|sev1: mean=6.8942 (n=4952)
    RandomText|sev1: mean=4.6002 (n=4952)
    LowPassKeep(0.18)|sev1: mean=4.2924 (n=4952)
    HighPassKeep(0.18)|sev1: mean=2.9431 (n=4952)
    LowBandNoise(0.18)|sev1: mean=4.4772 (n=4952)
    HighBandNoise(0.18)|sev1: mean=4.5596 (n=4952)
    AllBandNoise(0.18)|sev1: mean=4.4808 (n=4952)
    Translation(+8)|sev2: mean=5.0428 (n=4952)
    Translation(-8)|sev2: mean=5.1032 (n=4952)
    PadCrop(+8)|sev2: mean=5.2009 (n=4952)
    PadCrop(-8)|sev2: mean=4.5269 (n=4952)
    Scale(0.90)|sev2: mean=4.0668 (n=4952)
    ScalePadBlack(0.90)|sev2: mean=4.6151 (n=4952)
    ScalePadWhite(0.90)|sev2: mean=4.1238 (n=4952)
    Rotation(+20)|sev2: mean=3.3605 (n=4952)
    Rotation(-20)|sev2: mean=2.9554 (n=4952)
    TextOverlay|sev2: mean=4.6167 (n=4952)
    BoxOverlay|sev2: mean=6.3219 (n=4952)
    RandomText|sev2: mean=4.6177 (n=4952)
    LowPassKeep(0.28)|sev2: mean=4.4739 (n=4952)
    HighPassKeep(0.28)|sev2: mean=2.5511 (n=4952)
    LowBandNoise(0.28)|sev2: mean=4.4816 (n=4952)
    HighBandNoise(0.28)|sev2: mean=4.5737 (n=4952)
    AllBandNoise(0.28)|sev2: mean=4.5646 (n=4952)
    Translation(+12)|sev3: mean=5.0178 (n=4952)
    Translation(-12)|sev3: mean=4.9695 (n=4952)
    PadCrop(+12)|sev3: mean=5.1436 (n=4952)
    PadCrop(-12)|sev3: mean=4.7462 (n=4952)
    Scale(0.85)|sev3: mean=4.3051 (n=4952)
    ScalePadBlack(0.85)|sev3: mean=4.3282 (n=4952)
    ScalePadWhite(0.85)|sev3: mean=3.7502 (n=4952)
    Rotation(+30)|sev3: mean=3.0901 (n=4952)
